City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Rovira,CO,77.65,overcast clouds,4.2392,-75.24,ROVIRA RURAL
584,Kongolo,CD,73.24,overcast clouds,-5.3833,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
593,Alice Springs,AU,73.4,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
612,Itarema,BR,74.82,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
614,Caravelas,BR,78.87,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
621,Rocha,UY,71.69,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
622,Popondetta,PG,76.01,overcast clouds,-8.7537,148.2534,Timos Transit House
625,Oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
626,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
639,Sisophon,KH,76.95,clear sky,13.5859,102.9737,Pyramid Hotel
640,Luena,AO,70.74,overcast clouds,-11.7833,19.9167,Hotel Kandamba
646,Carutapera,BR,75.94,moderate rain,-1.195,-46.02,Lidera
651,Kloulklubed,PW,78.8,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
653,Yenagoa,NG,79.36,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
658,Tabing,PH,77.81,moderate rain,11.4,124.35,
668,Biak,ID,77.34,broken clouds,-0.9131,122.8766,Penginapan Kim
672,Kaduqli,SD,79.75,overcast clouds,11.0167,29.7167,فندق الله جابو
673,Francisco Beltrao,BR,74.75,scattered clouds,-26.0811,-53.055,Cristal Palace Hotel
